Country,Region,Subregion,Indicator,Dimension,Category,Sex,Year
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2010
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Hungary,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
India,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2010
Ireland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Italy,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Jamaica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2010
Jordan,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2010
Japan,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2010
Kazakhstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2010
Kyrgyzstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2010
Republic of Korea,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2010
Lebanon,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2010
Liechtenstein,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Luxembourg,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Latvia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Monaco,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Republic of Moldova,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Madagascar,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2010
Maldives,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2010
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2010
North Macedonia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Mauritius,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2010
Netherlands (Kingdom of the),Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Norway,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
New Zealand,Oceania,Australia and New Zealand,Persons prosecuted,by selected crime,Rape,Total,2010
Panama,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2010
Peru,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2010
Philippines,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2010
Portugal,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Paraguay,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2010
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Slovenia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Sweden,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Thailand,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2010
Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2010
Türkiye,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2010
Uganda,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2010
Ukraine,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
United States of America,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2010
Holy See,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2010
Albania,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Andorra,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Armenia,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2011
Austria,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Belgium,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Bulgaria,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Bosnia and Herzegovina,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Belarus,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Barbados,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2011
Canada,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2011
Chile,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2011
Colombia,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2011
Costa Rica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2011
Cyprus,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2011
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Germany,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Denmark,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Algeria,Africa,Northern Africa,Persons prosecuted,by selected crime,Rape,Total,2011
Estonia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Finland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
France,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2011
United Kingdom (England and Wales),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
United Kingdom (Northern Ireland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
United Kingdom (Scotland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Guatemala,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2011
Guyana,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2011
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2011
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Hungary,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
India,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2011
Ireland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Italy,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Jordan,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2011
Japan,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2011
Kazakhstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2011
Kyrgyzstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2011
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2011
Republic of Korea,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2011
Lebanon,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2011
Liechtenstein,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Luxembourg,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Latvia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Monaco,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Republic of Moldova,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Maldives,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2011
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2011
North Macedonia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Malta,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Mauritius,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2011
Netherlands (Kingdom of the),Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Norway,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
New Zealand,Oceania,Australia and New Zealand,Persons prosecuted,by selected crime,Rape,Total,2011
Panama,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2011
Peru,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2011
Philippines,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2011
Poland,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Portugal,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Paraguay,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2011
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Slovenia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Sweden,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Thailand,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2011
Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2011
Türkiye,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2011
United States of America,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2011
Holy See,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Kosovo under UNSCR 1244,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2011
Albania,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Andorra,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Armenia,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2012
Austria,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Azerbaijan,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2012
Burundi,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2012
Belgium,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Bulgaria,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Bosnia and Herzegovina,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Belarus,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Barbados,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2012
Canada,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2012
Chile,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2012
Colombia,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2012
Costa Rica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2012
Cyprus,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2012
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Germany,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Denmark,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Algeria,Africa,Northern Africa,Persons prosecuted,by selected crime,Rape,Total,2012
Estonia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Finland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
France,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2012
United Kingdom (England and Wales),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
United Kingdom (Northern Ireland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
United Kingdom (Scotland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Guatemala,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2012
Guyana,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2012
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2012
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Hungary,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
India,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2012
Ireland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Iceland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Italy,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Jordan,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2012
Japan,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2012
Kazakhstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2012
Kyrgyzstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2012
Republic of Korea,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2012
Lebanon,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2012
Liechtenstein,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Latvia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Monaco,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Republic of Moldova,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Madagascar,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2012
Maldives,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2012
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2012
North Macedonia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Malta,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Mauritius,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2012
Netherlands (Kingdom of the),Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Norway,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
New Zealand,Oceania,Australia and New Zealand,Persons prosecuted,by selected crime,Rape,Total,2012
Panama,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2012
Peru,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2012
Philippines,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2012
Portugal,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
El Salvador,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2012
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Slovenia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Sweden,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Thailand,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2012
Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2012
Türkiye,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2012
United States of America,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2012
Holy See,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2012
Albania,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Andorra,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Armenia,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2013
Austria,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Azerbaijan,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2013
Belgium,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Bulgaria,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Bosnia and Herzegovina,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Belarus,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Bermuda,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2013
Barbados,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2013
Botswana,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2013
Canada,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2013
Chile,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2013
Cameroon,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2013
Colombia,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2013
Costa Rica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2013
Cyprus,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2013
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Germany,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Denmark,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Algeria,Africa,Northern Africa,Persons prosecuted,by selected crime,Rape,Total,2013
Estonia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Finland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
France,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2013
United Kingdom (England and Wales),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
United Kingdom (Northern Ireland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
United Kingdom (Scotland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Guatemala,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2013
Guyana,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2013
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2013
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Hungary,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
India,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2013
Iceland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Italy,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Japan,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2013
Kazakhstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2013
Kyrgyzstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2013
Republic of Korea,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2013
Lebanon,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2013
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Latvia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Monaco,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Maldives,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2013
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2013
North Macedonia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Malta,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Mauritius,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2013
Netherlands (Kingdom of the),Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Norway,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
New Zealand,Oceania,Australia and New Zealand,Persons prosecuted,by selected crime,Rape,Total,2013
Panama,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2013
Peru,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2013
Philippines,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2013
Poland,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Portugal,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Paraguay,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2013
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
El Salvador,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2013
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Slovenia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Sweden,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Thailand,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2013
Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2013
Türkiye,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2013
United States of America,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2013
Holy See,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2013
Albania,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Andorra,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Armenia,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2014
Austria,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Azerbaijan,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2014
Belgium,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Bulgaria,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Bosnia and Herzegovina,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Belarus,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Barbados,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2014
Botswana,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2014
Canada,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2014
Chile,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2014
China,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2014
Colombia,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2014
Cyprus,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2014
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Germany,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Denmark,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Algeria,Africa,Northern Africa,Persons prosecuted,by selected crime,Rape,Total,2014
Ecuador,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2014
Estonia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Finland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
France,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2014
United Kingdom (England and Wales),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
United Kingdom (Northern Ireland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
United Kingdom (Scotland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Guatemala,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2014
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Hungary,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Iceland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Italy,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Jamaica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2014
Japan,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2014
Kazakhstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2014
Kenya,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2014
Kyrgyzstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2014
Republic of Korea,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2014
Liechtenstein,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Latvia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2014
Republic of Moldova,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Madagascar,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2014
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2014
North Macedonia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Malta,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Mongolia,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2014
Netherlands (Kingdom of the),Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Norway,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
New Zealand,Oceania,Australia and New Zealand,Persons prosecuted,by selected crime,Rape,Total,2014
Panama,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2014
Peru,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2014
Philippines,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2014
Paraguay,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2014
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
El Salvador,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2014
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Slovenia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Sweden,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Thailand,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2014
Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2014
Türkiye,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2014
Uganda,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2014
United States of America,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2014
Holy See,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2014
Albania,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Andorra,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Armenia,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2015
