Country,Region,Subregion,Indicator,Dimension,Category,Sex,Year
United Kingdom (England and Wales),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
United Kingdom (Scotland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Grenada,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2006
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2006
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Hungary,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
India,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2006
Ireland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Iceland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Italy,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Jamaica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2006
Japan,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2006
Kazakhstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2006
Republic of Korea,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2006
Kuwait,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2006
Liechtenstein,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Monaco,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Republic of Moldova,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2006
North Macedonia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Netherlands (Kingdom of the),Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2006
