Country,Region,Subregion,Indicator,Dimension,Category,Sex,Year,VALUE
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2020,11.0
Saint Lucia,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2020,4.0
Lithuania,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2020,413.0
Luxembourg,Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2020,181.0
Latvia,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2020,280.0
"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2020,144.0
Mexico,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2020,2945.0
Malta,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2020,61.0
Montenegro,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2020,195.0
Mongolia,Asia,Eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2020,0.0
Norway,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2020,2508.0
New Zealand,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Drug trafficking,Total,2020,1250.0
Peru,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2020,674.0
Portugal,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2020,2159.0
Paraguay,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2020,21.0
Romania,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2020,574.0
Russian Federation,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2020,13990.0
Singapore,Asia,South-eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2020,223.0
Serbia,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2020,945.0
Slovakia,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2020,627.0
Slovenia,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2020,271.0
Sweden,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2020,1603.0
Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2020,4.0
Türkiye,Asia,Western Asia,Persons convicted,by selected crime,Drug trafficking,Total,2020,19967.0
Uzbekistan,Asia,Central Asia,Persons convicted,by selected crime,Drug trafficking,Total,2020,1542.0
Albania,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,900.0
Argentina,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,6902.0
Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,0.0
Australia,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Drug trafficking,Total,2021,7357.0
Bulgaria,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,35.0
Bosnia and Herzegovina,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,463.0
Belize,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,45.0
Bermuda,Americas,Northern America,Persons convicted,by selected crime,Drug trafficking,Total,2021,0.0
Barbados,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,115.0
Canada,Americas,Northern America,Persons convicted,by selected crime,Drug trafficking,Total,2021,2129.0
Switzerland,Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,5667.0
Chile,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,8692.0
Colombia,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,4681.0
Costa Rica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,831.0
Czechia,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,2352.0
Germany,Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,20244.0
Dominica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,17.0
Denmark,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,1615.0
Dominican Republic,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,1398.0
Algeria,Africa,Northern Africa,Persons convicted,by selected crime,Drug trafficking,Total,2021,12475.0
Ecuador,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,618.0
Spain,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,12482.0
Estonia,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,479.0
France,Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,35743.0
United Kingdom (Northern Ireland),Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,554.0
United Kingdom (Scotland),Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,808.0
Greece,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,2682.0
Grenada,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,35.0
Guatemala,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,233.0
Guyana,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,301.0
Honduras,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,1794.0
Croatia,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,747.0
Israel,Asia,Western Asia,Persons convicted,by selected crime,Drug trafficking,Total,2021,1421.0
Jamaica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,546.0
Japan,Asia,Eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2021,475.0
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,1.0
Saint Lucia,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,6.0
Lithuania,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,443.0
Luxembourg,Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,173.0
Latvia,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,220.0
"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2021,89.0
Mexico,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,3761.0
Montenegro,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,141.0
Mongolia,Asia,Eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2021,1.0
Netherlands (Kingdom of the),Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,3669.0
Norway,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,2100.0
New Zealand,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Drug trafficking,Total,2021,1184.0
Panama,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,278.0
Peru,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,1640.0
Portugal,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,2371.0
Paraguay,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,7.0
Romania,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,677.0
Singapore,Asia,South-eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2021,168.0
El Salvador,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,297.0
Serbia,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,905.0
Slovakia,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,672.0
Slovenia,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,320.0
Sweden,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,1702.0
Türkiye,Asia,Western Asia,Persons convicted,by selected crime,Drug trafficking,Total,2021,26855.0
Uruguay,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,1841.0
Uzbekistan,Asia,Central Asia,Persons convicted,by selected crime,Drug trafficking,Total,2021,1586.0
Holy See,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2021,0.0
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2021,6.0
Albania,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,900.0
Argentina,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,8329.0
Armenia,Asia,Western Asia,Persons convicted,by selected crime,Drug trafficking,Total,2022,362.0
Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,0.0
Australia,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Drug trafficking,Total,2022,6570.0
Bulgaria,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,46.0
Bosnia and Herzegovina,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,494.0
Belize,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,32.0
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,25.0
Barbados,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,154.0
Canada,Americas,Northern America,Persons convicted,by selected crime,Drug trafficking,Total,2022,2281.0
Switzerland,Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,4926.0
Chile,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,12021.0
China,Asia,Eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2022,45322.0
Colombia,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,4090.0
Costa Rica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,733.0
Czechia,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,2186.0
Germany,Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,17139.0
Dominica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,31.0
Denmark,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,1726.0
Ecuador,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,586.0
Spain,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,13066.0
Estonia,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,493.0
France,Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,33654.0
United Kingdom (Scotland),Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,1489.0
Greece,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,2242.0
Grenada,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,64.0
Guatemala,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,269.0
Honduras,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,966.0
Croatia,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,685.0
Israel,Asia,Western Asia,Persons convicted,by selected crime,Drug trafficking,Total,2022,1381.0
Jamaica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,81.0
Japan,Asia,Eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2022,397.0
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,2.0
Saint Lucia,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,8.0
Lithuania,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,486.0
Luxembourg,Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,194.0
Latvia,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,222.0
"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2022,68.0
Mexico,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,2493.0
Malta,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,36.0
Myanmar,Asia,South-eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2022,1203.0
Montenegro,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,127.0
Netherlands (Kingdom of the),Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,3140.0
Norway,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,1708.0
New Zealand,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Drug trafficking,Total,2022,1141.0
Panama,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,339.0
Peru,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,4418.0
Portugal,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,2587.0
Paraguay,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,12.0
Romania,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,809.0
Singapore,Asia,South-eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2022,157.0
El Salvador,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,324.0
Serbia,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,1003.0
Slovakia,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,721.0
Slovenia,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,208.0
Sweden,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,1714.0
Türkiye,Asia,Western Asia,Persons convicted,by selected crime,Drug trafficking,Total,2022,30442.0
Uruguay,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,1546.0
Holy See,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2022,0.0
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2022,9.0
Albania,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,734.0
Argentina,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2023,9306.0
Armenia,Asia,Western Asia,Persons convicted,by selected crime,Drug trafficking,Total,2023,567.0
Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2023,0.0
Australia,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Drug trafficking,Total,2023,5790.0
Bulgaria,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,39.0
Bosnia and Herzegovina,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,541.0
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2023,45.0
Switzerland,Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,4231.0
Chile,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2023,11606.0
Costa Rica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2023,908.0
Czechia,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,2298.0
Germany,Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,15497.0
Denmark,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,2015.0
Algeria,Africa,Northern Africa,Persons convicted,by selected crime,Drug trafficking,Total,2023,6929.0
Ecuador,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2023,469.0
Spain,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,11927.0
Estonia,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,419.0
France,Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,34527.0
United Kingdom (Northern Ireland),Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,505.0
Greece,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,1596.0
Guatemala,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2023,277.0
Guyana,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2023,327.0
Honduras,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2023,1646.0
Croatia,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,645.0
Jamaica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2023,69.0
Japan,Asia,Eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2023,438.0
Saint Lucia,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2023,3.0
Lithuania,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,503.0
Luxembourg,Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,208.0
Latvia,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,160.0
Morocco,Africa,Northern Africa,Persons convicted,by selected crime,Drug trafficking,Total,2023,3161.0
Mexico,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2023,1714.0
Malta,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,29.0
Myanmar,Asia,South-eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2023,1170.0
Montenegro,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,176.0
Netherlands (Kingdom of the),Europe,Western Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,3452.0
Norway,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,1379.0
New Zealand,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Drug trafficking,Total,2023,1002.0
Panama,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2023,261.0
Peru,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Drug trafficking,Total,2023,4652.0
Portugal,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,2332.0
Romania,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,845.0
Singapore,Asia,South-eastern Asia,Persons convicted,by selected crime,Drug trafficking,Total,2023,120.0
Serbia,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,568.0
Slovakia,Europe,Eastern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,505.0
Slovenia,Europe,Southern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,246.0
Sweden,Europe,Northern Europe,Persons convicted,by selected crime,Drug trafficking,Total,2023,1768.0
Türkiye,Asia,Western Asia,Persons convicted,by selected crime,Drug trafficking,Total,2023,31470.0
Albania,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2003,1.63561798698722
Armenia,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2003,0.493588531766617
Australia,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Rape,Total,2003,6.29179778888465
Austria,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2003,1.58816103509688
Bulgaria,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2003,2.35764153585226
Belarus,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2003,3.37645660057227
Bermuda,Americas,Northern America,Persons convicted,by selected crime,Rape,Total,2003,57.7052543839964
Canada,Americas,Northern America,Persons convicted,by selected crime,Rape,Total,2003,7.13960795040105
Switzerland,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2003,1.41815983670435
Costa Rica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2003,3.33431228419842
Cyprus,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2003,0.60024610090137
Germany,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2003,1.33355067164645
Denmark,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,1.2428995882756
Algeria,Africa,Northern Africa,Persons convicted,by selected crime,Rape,Total,2003,0.351195428057112
Estonia,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,2.4072655651603
Finland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,1.28525951211933
France,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2003,2.81522606952682
United Kingdom (England and Wales),Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,1.27309643801993
United Kingdom (Scotland),Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,1.22324159021407
Georgia,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2003,0.660876571998953
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2003,0.189534585432824
Croatia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2003,1.46284173027706
Hungary,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2003,2.83906469931683
Ireland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,1.32734442208551
Iceland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,3.10768115191381
Israel,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2003,1.90686502163677
Italy,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2003,2.66714241097793
Japan,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2003,0.608594331825752
Kyrgyzstan,Asia,Central Asia,Persons convicted,by selected crime,Rape,Total,2003,4.98117860694266
Republic of Korea,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2003,3.6262873675312
Latvia,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,2.88337533158816
Republic of Moldova,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2003,4.78583451585363
Mexico,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2003,2.98023328953504
North Macedonia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2003,0.960886629310597
Mongolia,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2003,6.78085736208787
Mauritius,Africa,Sub-Saharan Africa,Persons convicted,by selected crime,Rape,Total,2003,0.805089129404794
Netherlands (Kingdom of the),Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2003,2.04681249584528
Norway,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,1.88403584137207
Poland,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2003,2.79817118441744
Portugal,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2003,0.52610207623793
State of Palestine,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2003,0.0294284653599741
Romania,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2003,3.66777880172509
Slovakia,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2003,1.46944047426842
Slovenia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2003,1.3048998991212
Sweden,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,1.47347230781819
Turkmenistan,Asia,Central Asia,Persons convicted,by selected crime,Rape,Total,2003,1.52142364956432
Türkiye,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2003,11.5388477600295
Uganda,Africa,Sub-Saharan Africa,Persons convicted,by selected crime,Rape,Total,2003,0.00758952105720207
Ukraine,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2003,1.43847261446185
Zimbabwe,Africa,Sub-Saharan Africa,Persons convicted,by selected crime,Rape,Total,2003,4.978613014822
Albania,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2004,1.25860957527574
Armenia,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2004,0.165423727916346
Australia,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Rape,Total,2004,5.84136712533454
Austria,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2004,1.3947528663089
Azerbaijan,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2004,0.459370775113977
Bulgaria,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2004,2.46469740355097
Belarus,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2004,3.26653340990855
Canada,Americas,Northern America,Persons convicted,by selected crime,Rape,Total,2004,7.50326517296917
Switzerland,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2004,1.71988969142132
Costa Rica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2004,4.09516252973903
Cyprus,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2004,0.68770689539143
Czechia,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2004,1.78337378164751
Germany,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2004,1.33385780541033
Denmark,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,1.03615477043806
Algeria,Africa,Northern Africa,Persons convicted,by selected crime,Rape,Total,2004,0.536344446655886
Estonia,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,3.66925079769512
Finland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,1.89359597318209
France,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2004,2.87534599472354
United Kingdom (England and Wales),Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,1.41292837363741
United Kingdom (Scotland),Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,0.924414373660091
Georgia,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2004,0.813594724060104
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2004,0.174211892618403
Croatia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2004,1.48489967240561
Hungary,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2004,1.42775117985292
India,Asia,Southern Asia,Persons convicted,by selected crime,Rape,Total,2004,0.435478605360198
Ireland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,0.664032752062836
Iceland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,1.02680473767706
Israel,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2004,2.04078933196273
Italy,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2004,3.01323187811967
Japan,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2004,0.554704617287691
Kazakhstan,Asia,Central Asia,Persons convicted,by selected crime,Rape,Total,2004,4.42266842803695
Kyrgyzstan,Asia,Central Asia,Persons convicted,by selected crime,Rape,Total,2004,4.09375978394174
